Image Name,Label,Image Path
8966.jpg,Cat,/content/drive/MyDrive/PetImages/Cat/8966.jpg
9062.jpg,Cat,/content/drive/MyDrive/PetImages/Cat/9062.jpg
8990.jpg,Cat,/content/drive/MyDrive/PetImages/Cat/8990.jpg
9206.jpg,Cat,/content/drive/MyDrive/PetImages/Cat/9206.jpg
9345.jpg,Cat,/content/drive/MyDrive/PetImages/Cat/9345.jpg
8982.jpg,Cat,/content/drive/MyDrive/PetImages/Cat/8982.jpg
877.jpg,Cat,/content/drive/MyDrive/PetImages/Cat/877.jpg
9161.jpg,Cat,/content/drive/MyDrive/PetImages/Cat/9161.jpg
9313.jpg,Cat,/content/drive/MyDrive/PetImages/Cat/9313.jpg
8882.jpg,Cat,/content/drive/MyDrive/PetImages/Cat/8882.jpg
9248.jpg,Cat,/content/drive/MyDrive/PetImages/Cat/9248.jpg
8808.jpg,Cat,/content/drive/MyDrive/PetImages/Cat/8808.jpg
8931.jpg,Cat,/content/drive/MyDrive/PetImages/Cat/8931.jpg
9332.jpg,Cat,/content/drive/MyDrive/PetImages/Cat/9332.jpg
9261.jpg,Cat,/content/drive/MyDrive/PetImages/Cat/9261.jpg
9275.jpg,Dog,/content/drive/MyDrive/PetImages/Dog/9275.jpg
9086.jpg,Dog,/content/drive/MyDrive/PetImages/Dog/9086.jpg
9281.jpg,Dog,/content/drive/MyDrive/PetImages/Dog/9281.jpg
9400.jpg,Dog,/content/drive/MyDrive/PetImages/Dog/9400.jpg
938.jpg,Dog,/content/drive/MyDrive/PetImages/Dog/938.jpg
9101.jpg,Dog,/content/drive/MyDrive/PetImages/Dog/9101.jpg
9154.jpg,Dog,/content/drive/MyDrive/PetImages/Dog/9154.jpg
9046.jpg,Dog,/content/drive/MyDrive/PetImages/Dog/9046.jpg
897.jpg,Dog,/content/drive/MyDrive/PetImages/Dog/897.jpg
8988.jpg,Dog,/content/drive/MyDrive/PetImages/Dog/8988.jpg
8976.jpg,Dog,/content/drive/MyDrive/PetImages/Dog/8976.jpg
9409.jpg,Dog,/content/drive/MyDrive/PetImages/Dog/9409.jpg
9233.jpg,Dog,/content/drive/MyDrive/PetImages/Dog/9233.jpg
9059.jpg,Dog,/content/drive/MyDrive/PetImages/Dog/9059.jpg
9105.jpg,Dog,/content/drive/MyDrive/PetImages/Dog/9105.jpg
